id,Tournament,Stage,Match Type,Map,Agent,Pick Rate
316,Valorant Champions 2024,Playoffs,Upper Final,Icebox,kayo,50%
317,Valorant Champions 2024,Playoffs,Upper Final,Icebox,breach,0%
318,Valorant Champions 2024,Playoffs,Upper Final,Icebox,viper,100%
319,Valorant Champions 2024,Playoffs,Upper Final,Icebox,cypher,0%
320,Valorant Champions 2024,Playoffs,Upper Final,Icebox,fade,0%
321,Valorant Champions 2024,Playoffs,Upper Final,Icebox,harbor,50%
322,Valorant Champions 2024,Playoffs,Upper Final,Icebox,killjoy,100%
323,Valorant Champions 2024,Playoffs,Upper Final,Icebox,raze,0%
324,Valorant Champions 2024,Playoffs,Upper Final,Icebox,neon,0%
325,Valorant Champions 2024,Playoffs,Upper Final,Icebox,astra,0%
326,Valorant Champions 2024,Playoffs,Upper Final,Icebox,clove,0%
327,Valorant Champions 2024,Playoffs,Upper Final,Icebox,iso,0%
328,Valorant Champions 2024,Playoffs,Upper Final,Icebox,gekko,0%
329,Valorant Champions 2024,Playoffs,Upper Final,Icebox,deadlock,0%
330,Valorant Champions 2024,Playoffs,Upper Final,Icebox,phoenix,0%
331,Valorant Champions 2024,Playoffs,Upper Final,Icebox,reyna,0%
332,Valorant Champions 2024,Playoffs,Upper Final,Icebox,sage,0%
333,Valorant Champions 2024,Playoffs,Upper Final,Icebox,skye,0%
334,Valorant Champions 2024,Playoffs,Upper Final,Icebox,chamber,0%
335,Valorant Champions 2024,Playoffs,Upper Final,Icebox,brimstone,0%
336,Valorant Champions 2024,Playoffs,Upper Final,Icebox,yoru,0%
337,Valorant Champions 2024,Playoffs,Upper Final,Abyss,omen,100%
338,Valorant Champions 2024,Playoffs,Upper Final,Abyss,sova,100%
339,Valorant Champions 2024,Playoffs,Upper Final,Abyss,jett,100%
340,Valorant Champions 2024,Playoffs,Upper Final,Abyss,kayo,50%
341,Valorant Champions 2024,Playoffs,Upper Final,Abyss,breach,0%
342,Valorant Champions 2024,Playoffs,Upper Final,Abyss,viper,0%
343,Valorant Champions 2024,Playoffs,Upper Final,Abyss,cypher,50%
344,Valorant Champions 2024,Playoffs,Upper Final,Abyss,fade,0%
345,Valorant Champions 2024,Playoffs,Upper Final,Abyss,harbor,50%
346,Valorant Champions 2024,Playoffs,Upper Final,Abyss,killjoy,0%
347,Valorant Champions 2024,Playoffs,Upper Final,Abyss,raze,0%
348,Valorant Champions 2024,Playoffs,Upper Final,Abyss,neon,0%
